proj,year,mo,da,run,fc,fk,fb,fs,fsw,fe,fp,fa,fl,spill,outflow,fcj,fkj,turb,tempc,tempf,flps,fca,fka,fsh
BON ,1938,5,1,1,201,,,6,,,,,,,,,,,,,,,,
BON ,1938,5,2,1,227,,,2,,,,,,,,,,,,,,,,
BON ,1938,5,3,1,78,,,0,,,,,,,,,,,,,,,,
BON ,1938,5,4,1,37,,,0,,,,,,,,,,,,,,,,
BON ,1938,5,5,1,29,,,0,,,,,,,,,,,,,,,,
BON ,1938,5,6,1,24,,,0,,,,,,,,,,,,,,,,
BON ,1938,5,7,1,433,0,0,92,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,8,1,658,0,0,235,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,9,1,2073,0,0,579,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,10,1,2978,0,0,341,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,11,1,2285,0,0,366,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,12,1,1924,0,0,602,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,13,1,1540,0,54,562,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,14,1,1478,0,77,532,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,15,1,1161,0,121,422,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,16,1,1297,0,118,381,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,17,1,992,0,143,197,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,18,1,481,0,51,127,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,19,1,317,0,76,146,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,20,1,344,0,10,190,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,21,1,505,0,53,159,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,22,1,621,0,21,211,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,23,1,539,0,6,218,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,24,1,793,0,82,280,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,25,1,784,0,75,306,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,26,1,754,0,89,396,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,27,1,269,0,39,178,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,28,1,67,0,6,55,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,29,1,57,0,4,26,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,30,1,14,0,0,13,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,5,31,1,7,0,0,8,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,1,2,8,0,0,14,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,2,2,10,0,4,16,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,3,2,39,0,13,43,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,4,2,70,0,3,44,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,5,2,324,0,26,129,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,6,2,222,0,3,78,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,7,2,367,0,30,90,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,8,2,322,0,12,110,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,9,2,258,0,17,58,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,10,2,184,0,12,55,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,11,2,304,0,53,112,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,12,2,569,0,69,138,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,13,2,439,0,124,97,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,14,2,439,0,195,138,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,15,2,439,0,251,121,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,16,2,319,0,204,50,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,17,2,293,0,165,38,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,18,2,434,0,350,70,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,19,2,260,0,261,59,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,20,2,283,0,382,78,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,21,2,318,0,488,64,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,22,2,422,0,961,61,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,23,2,283,0,800,93,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,24,2,446,0,1432,89,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,25,2,218,0,1395,76,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,26,2,191,0,1761,64,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,27,2,191,0,1991,74,0,0,0,0,0,,,0,0,,,,,,,
BON ,1938,6,28,2,167,0,2047,97,0,0,0,0,0,,,0,0,,,,,,,
