year,month,upwelling,noi,npgo,pdo,oni 
1950,1,-16,2.644,-2.19,-1.61,-1.4
1950,2,-166,2.077,-1.45,-2.17,-1.2
1950,3,-49,3.091,-0.97,-1.89,-1.1
1950,4,-4,1.923,-0.86,-1.99,-1.2
1950,5,49,2.211,-0.63,-3.19,-1.1
1950,6,32,1.014,-0.58,-2.52,-0.9
1950,7,71,-0.336,-0.74,-3.65,-0.6
1950,8,15,-0.236,-0.55,-2.98,-0.6
1950,9,14,0.17,-0.6,-2.4,-0.5
1950,10,-54,-2.54,0.12,-1.92,-0.6
1950,11,-72,0.483,-0.26,-1.45,-0.7
1950,12,-168,-1.545,-0.49,-1.06,-0.8
1951,1,-65,2.702,-0.48,-1.19,-0.8
1951,2,-39,1.878,-0.41,-1.52,-0.6
1951,3,-2,3.103,-0.57,-1.72,-0.2
1951,4,34,-3.88,-0.56,-1.35,0.2
1951,5,16,-2.213,-1.07,-1.29,0.2
1951,6,105,-0.903,-1.44,-1.77,0.4
1951,7,60,-0.336,-1.1,-0.23,0.5
1951,8,98,-0.872,-1.17,-1.76,0.7
1951,9,6,-1.36,-1.42,-0.78,0.8
1951,10,-16,0.21,-1.07,-0.09,0.9
1951,11,-138,-1.165,-1.01,-0.31,0.7
1951,12,-19,-0.464,-1.22,-1.45,0.6
1952,1,-135,-1.444,-1.34,-2.19,0.5
1952,2,-30,2.156,-1.09,-1.35,0.4
1952,3,1,1.739,-0.67,-1.67,0.4
1952,4,-2,-1.652,-0.43,-1.92,0.4
1952,5,18,0.535,-0.63,-2.07,0.4
1952,6,31,0.015,-0.97,-2.13,0.2
1952,7,82,-0.538,-1.34,-2.05,0
1952,8,50,1.034,-0.9,-1.58,0.1
1952,9,15,0.375,-0.58,-1.36,0.2
1952,10,-1,0.623,-0.26,-0.91,0.2
1952,11,-64,1.179,-0.32,-0.53,0.2
1952,12,-273,-2.297,0.85,-0.83,0.3
1953,1,-235,1.742,0.94,-0.16,0.5
1953,2,-1,7.614,0.75,-0.46,0.6
1953,3,-17,2.595,1.22,-1.27,0.7
1953,4,-3,-0.952,1.25,-0.9,0.7
1953,5,2,-0.631,1.27,-0.55,0.7
1953,6,24,1.682,1.06,-0.2,0.7
1953,7,67,0.185,1.04,0.06,0.7
1953,8,10,0.197,0.62,-0.92,0.7
1953,9,18,-0.721,0.29,-1.11,0.8
1953,10,-9,1.669,1.08,-1.48,0.8
1953,11,-147,-0.853,2.05,-0.51,0.8
1953,12,-45,6.027,1.42,-0.18,0.7
1954,1,-57,0.5,1.09,-1.13,0.7
1954,2,-101,1.101,1.16,-0.95,0.4
1954,3,2,-1.304,0.08,-1.15,0
1954,4,4,0.761,-0.37,-1.25,-0.4
